Ref,Val,Package,PosX,PosY,Rot,Side
"RV6","25k","Potentiometer_Bourns_3314J_Vertical",344.070000,-104.270000,0.000000,top
"RV7","25k","Potentiometer_Bourns_3314J_Vertical",271.150000,-193.575000,-90.000000,top
"RV8","25k","Potentiometer_Bourns_3314J_Vertical",298.600000,-148.600000,0.000000,top
"RV9","25k","Potentiometer_Bourns_3314J_Vertical",229.180000,-86.950000,0.000000,top
"RV10","25k","Potentiometer_Bourns_3314J_Vertical",291.330000,-93.780000,90.000000,top
"RV11","25k","Potentiometer_Bourns_3314J_Vertical",96.360000,-152.100000,180.000000,top
"SW1","SW_SPDT","SW_CuK_OS102011MA1QN1_SPDT_Angled",51.725000,-56.250000,-90.000000,top
"U1","ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D",80.000000,-179.000000,-90.000000,top
"U2","MCP9808_MSOP","PinSocket_1x08_P2.54mm_Vertical",230.075000,-218.625000,-90.000000,top
"U3","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",237.232500,-64.870000,0.000000,top
"U4","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",306.350000,-74.800000,90.000000,top
"U5","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",331.800000,-183.400000,-90.000000,top
"U6","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",345.600000,-164.000000,0.000000,top
"U7","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",226.462500,-62.770000,90.000000,top
"U8","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",322.590000,-73.150000,90.000000,top
"U9","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",264.892500,-59.390000,180.000000,top
"U10","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",292.400000,-214.200000,0.000000,top
"U11","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",334.750000,-69.900000,90.000000,top
"U12","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",303.600000,-188.400000,0.000000,top
"U13","INA219AxD","SOIC-8_3.9x4.9mm_P1.27mm",356.070000,-61.300000,90.000000,top
"U14","LMR51450","WSON_SDRRR_TEX-M",199.323900,-65.180315,0.000000,top
"U15","LMR51450","WSON_SDRRR_TEX-M",282.127737,-66.460000,0.000000,top
"U16","LMR51450","WSON_SDRRR_TEX-M",341.800000,-129.600000,180.000000,top
"U17","LMR51450","WSON_SDRRR_TEX-M",322.298600,-153.450315,180.000000,top
"U18","LMR51450","WSON_SDRRR_TEX-M",289.909685,-126.748600,90.000000,top
"U19","LMR51450","WSON_SDRRR_TEX-M",338.662263,-106.130000,0.000000,top
"U20","LMR51450","WSON_SDRRR_TEX-M",262.099685,-193.873600,90.000000,top
"U21","LMR51450","WSON_SDRRR_TEX-M",299.800000,-157.650315,180.000000,top
"U22","LMR51450","WSON_SDRRR_TEX-M",238.691400,-87.450315,0.000000,top
"U23","LMR51450","WSON_SDRRR_TEX-M",290.990000,-101.690000,180.000000,top
"U24","LMR51450","WSON_SDRRR_TEX-M",99.749685,-144.498600,-90.000000,top
"U25","L7812","TO-220-3_Horizontal_TabDown",67.650000,-63.860000,0.000000,top
